prompt_topic,prompt_topic_keywords
programming,"programming, code, software, computation, string manipulation, coding, fine-tuning, algorithm, psuedocode, web development, simulation, python, app, debugging, computing, installation, development, API, data, diffusion, cybersecurity, operating systems, NLP"
history,"history, historical"
Math,"math, mathmatical, mathematics, numbers, geometry, arithmetic, probability, addition, statistics, regression, numerical"
AI,"AI, artifical intelligence, natural language processing, neural network, deep learning, transformer, chatbot, machine learning"
science,"physics, chemistry, biology, space, science, quantum, anatomy, sustainability, plant, astrophysics, ecology, weather, astronomy"
Social,"emotion, relationship, politeness, communication, education, communicate, child, parenting, humor, culture, behavior, greet, coach, personal, family"
Language,"language, translation, speech, lexicon, translate, vocabulary"
technology,"photography, bitcoin, mechanic, cryptocurrency, camera"
philosophy,"philosophy, philosophical, existence, ethics, belief"
politics,"debate, politic, legislat"
geography,"navigate, directions, route, geography, location, travel"
entertainment,"TV, music, entertainment, sport, film, movie, trivia, activit, fitness, blogging, game, media"
Food,"food, nutrition, cooking, chef, meal, breakfast, lunch, dinner"
business/economics,"career, investment, business, income, finance, banking, marketing, economy, economic, entrepreneurship, company, tax, accounting, startup"
computers,"computer, computer hardware, GPU, semiconductor"
Medicine,"medical, medicine, injury, doctor, disease, sickness, treatment, mental"
Animals,"animal, birds, cats, dogs"
